,Track Name,Artist Name,Popularity,Release Year,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
2999,I'll Be There,Walk off the Earth,63,2019,False,0.695,0.68,10,-5.574,1,0.0475,0.269,0.0,0.326,0.449,95.006,169355,4
3000,"Genius (feat. Sia, Diplo, and Labrinth)",Sia,77,2019,False,0.603,0.615,11,-4.931,0,0.165,0.0799,6.72e-05,0.117,0.561,158.657,213707,4
3001,Bitch Better Have My Money,Rihanna,77,2015,True,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,219306,4
3002,Irreplaceable,Beyoncé,33,2006,False,0.576,0.697,10,-4.192,1,0.326,0.0286,1.15e-06,0.167,0.501,175.906,227667,4
3003,Changed the Way You Kiss Me - Radio Edit,Example,40,2019,False,0.575,0.802,4,-5.049,0,0.0397,0.00631,0.00116,0.117,0.25,127.0,192720,4
3004,Hello (feat. Dragonette),Martin Solveig,63,2010,False,0.666,0.975,3,-3.47,1,0.0345,0.0135,0.000925,0.105,0.452,128.005,191388,4
3005,Classic,MKTO,84,2012,False,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4
3006,Hot N Cold,Katy Perry,52,2008,False,0.702,0.839,7,-3.992,1,0.0439,8.1e-05,0.0,0.072,0.856,132.007,223227,4
3007,Lips Are Movin,Meghan Trainor,71,2015,False,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,182667,4
3008,Who Says,Selena Gomez & The Scene,76,2011,False,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019,195613,4
3009,Team,Lorde,77,2013,False,0.69,0.578,6,-7.436,1,0.0929,0.167,0.0,0.305,0.416,99.961,193059,4
3010,Primadonna,MARINA,34,2012,False,0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98,221075,4
3011,Hooked,Why Don't We,62,2018,False,0.623,0.624,1,-5.469,1,0.0595,0.0941,0.0,0.119,0.347,180.016,204907,4
3012,Unconditionally,Katy Perry,0,2013,False,0.555,0.729,7,-4.813,1,0.0387,0.00357,0.0,0.209,0.369,129.003,228879,4
3013,Thinking Of You,Katy Perry,50,2008,False,0.431,0.803,4,-4.459,1,0.0364,0.00167,0.0,0.331,0.309,147.048,246410,4
3014,Savage Love (Laxed - Siren Beat),Jawsh 685,74,2020,True,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,171375,4
3015,When I Grow Up,The Pussycat Dolls,73,2008,False,0.671,0.685,11,-5.762,0,0.05,0.00165,0.0,0.398,0.368,118.449,245680,4
3016,Tired Of Being Sorry,Enrique Iglesias,50,2007,False,0.705,0.718,0,-5.912,0,0.0254,0.0582,9.82e-05,0.296,0.617,120.016,241440,4
3017,Shut Up,Black Eyed Peas,0,2003,False,0.81,0.714,2,-3.966,1,0.243,0.0637,0.0,0.237,0.561,112.968,296187,4
3018,American Boy,Estelle,3,2008,True,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932,284733,4
3019,Bad Romance,Lady Gaga,84,2009,True,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,4
3020,Push The Button,Sugababes,65,2005,False,0.962,0.66,8,-5.096,1,0.061,0.0485,0.0,0.076,0.814,126.016,218093,4
3021,Trick Me,Kelis,11,2003,True,0.97,0.72,1,-3.347,0,0.149,0.0369,0.000389,0.326,0.962,107.17,206107,4
3022,Teenage Dirtbag,Wheatus,79,1999,True,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,241667,4
3023,Shape of My Heart,Backstreet Boys,74,2000,False,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,230093,4
3024,Numb / Encore,JAY-Z,79,2004,True,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,205733,4
3025,Skyscraper,Demi Lovato,66,2011,False,0.573,0.581,7,-3.325,1,0.0276,0.148,0.0,0.128,0.188,103.82,221293,4
3026,The Heart Wants What It Wants,Selena Gomez,71,2014,False,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,227373,4
3027,I Don't Feel Like Dancin',Scissor Sisters,62,2006,False,0.707,0.923,7,-3.409,1,0.0276,0.0195,0.0,0.342,0.845,108.023,288360,4
3028,Big Big World,Emilia,60,1998,False,0.57,0.461,0,-10.249,1,0.0285,0.501,1.88e-05,0.202,0.336,87.987,205467,4
3029,Story of My Life,One Direction,85,2013,False,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,245493,4
3030,All The Lies (with Felix Jaehn & The Vamps),Alok,49,2019,False,0.611,0.835,6,-4.107,1,0.139,0.167,0.0,0.107,0.672,102.023,179457,4
3031,In My Blood,Shawn Mendes,75,2018,False,0.622,0.712,5,-7.321,1,0.066,0.0573,0.0,0.13,0.487,140.025,211360,4
3032,NO,Meghan Trainor,77,2017,False,0.557,0.803,1,-3.599,0,0.213,0.0124,1.61e-06,0.737,0.657,92.134,213507,4
3033,All The Right Moves,OneRepublic,32,2009,False,0.528,0.948,0,-3.522,1,0.0475,0.259,1e-05,0.283,0.651,146.036,238000,4
3034,Escape,Enrique Iglesias,59,2001,False,0.776,0.844,11,-5.305,1,0.0297,0.0277,0.000244,0.135,0.868,125.972,208627,4
3035,Just Dance,Lady Gaga,82,2008,False,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,241933,4
3036,Stan,Eminem,82,2000,True,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107,4
3037,My Happy Ending,Avril Lavigne,71,2004,True,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,242413,4
3038,Baby Love,Nicole Scherzinger,48,2007,False,0.62,0.429,8,-9.47,1,0.051,0.0236,0.0,0.291,0.495,90.031,282067,4
3039,The Magic Key,One-T,64,2003,False,0.809,0.728,5,-1.252,0,0.0533,0.0855,3.33e-06,0.303,0.967,204.192,228707,4
3040,Roses - Imanbek Remix,SAINt JHN,79,2019,True,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840,4
3041,Raise Your Glass,P!nk,80,2010,True,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,202960,4
