Track Name,artists,popularity,release_year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
Take Me Home,Jess Glynne,66,2015,False,0.558,0.451,9,-6.163,1,0.0388,0.292,0.0,0.101,0.238,150.008,265382,4,0
Kingston,Faye Webster,78,2019,False,0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,202653,4,2
when the party's over,Billie Eilish,86,2019,False,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,5
Ophelia,The Lumineers,76,2024,False,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.02,160097,4,1
She Looks So Perfect,5 Seconds of Summer,74,2014,False,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025,202496,4,6
Dark Necessities,Red Hot Chili Peppers,75,2016,False,0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,302000,4,6
Daddy Issues,The Neighbourhood,87,2015,False,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4,6
Illusion,Dua Lipa,86,2024,False,0.679,0.772,8,-4.721,0,0.0472,0.0277,2.59e-06,0.106,0.709,126.964,188143,4,0
i like the way you kiss me,Artemas,99,2024,False,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4,5
Saturn,SZA,94,2024,False,0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,186192,4,5
Austin,Dasha,91,2024,True,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,171783,4,2
obsessed,Olivia Rodrigo,90,2024,True,0.683,0.587,8,-5.094,1,0.0915,0.0219,0.0,0.305,0.697,119.985,170542,4,5
Feel It - From The Original Series “Invincible”,d4vd,86,2024,False,0.622,0.597,8,-5.78,1,0.0689,0.0357,0.0,0.221,0.492,120.433,157974,4,2
redrum,21 Savage,94,2024,True,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,270698,4,2
We Still Don't Trust You,Future,85,2024,True,0.714,0.581,0,-6.0,0,0.0265,0.0614,0.0411,0.402,0.421,109.998,252920,4,2
Training Season,Dua Lipa,92,2024,False,0.815,0.582,5,-4.5,0,0.0532,0.0365,1.45e-06,0.138,0.671,123.03,209488,4,0
Belong Together,Mark Ambor,90,2024,False,0.646,0.668,2,-5.203,1,0.0282,0.491,0.0,0.212,0.64,90.969,148318,4,5
